customer_ID,business_category
80181,Entertainment business
80182,Medical organization
80183,Sports activity location
80184,Sports activity location
80185,Store
80186,Professional service
80187,Shopping center
80188,Emergency services
80189,Emergency services
80190,Travel agency
80191,Health and construction business
80192,Automotive business
80193,Tourist information center
80194,Television station
80195,Professional service
80196,Television station
80197,Financial service
80198,Store
80199,Tourist information center
80200,Food establishment
80201,Employment agency
80202,Tourist information center
80203,Internet cafe
80204,Automotive business
80205,Library
80206,Automotive business
80207,Shopping center
80208,Real estate agent
80209,Food establishment
80210,Internet cafe
80211,Self storage
80212,Financial service
80213,Lodging business
80214,Entertainment business
80215,Entertainment business
80216,Child care
80217,Medical organization
80218,Library
80219,Internet cafe
80220,Tourist information center
80221,Internet cafe
80222,Internet cafe
80223,Financial service
80224,Self storage
80225,Professional service
80226,Entertainment business
80227,Entertainment business
80228,Child care
80229,Animal shelter
80230,Travel agency
80231,Automotive business
80232,Self storage
80233,Animal shelter
80234,Entertainment business
80235,Tourist information center
80236,Entertainment business
80237,Shopping center
80238,Medical organization
80239,Store
80240,Television station
80241,Professional service
80242,Internet cafe
80243,Government office
80244,Internet cafe
80245,Television station
80246,Employment agency
80247,Animal shelter
80248,Professional service
80249,Entertainment business
80250,Real estate agent
80251,Travel agency
80252,Sports activity location
80253,Travel agency
80254,Health and construction business
80255,Television station
80256,Self storage
80257,Emergency services
80258,Shopping center
80259,Library
80260,Food establishment
80261,Employment agency
80262,Government office
80263,Financial service
80264,Emergency services
80265,Automotive business
80266,Animal shelter
80267,Sports activity location
80268,Entertainment business
80269,Child care
80270,Child care
80271,Financial service
80272,Lodging business
80273,Store
80274,Real estate agent
80275,Medical organization
80276,Lodging business
80277,Travel agency
80278,Self storage
80279,Internet cafe
80280,Store
80281,Automotive business
80282,Employment agency
80283,Lodging business
80284,Dry cleaning or laundry
80285,Library
80286,Employment agency
80287,Television station
80288,Real estate agent
80289,Child care
80290,Professional service
80291,Internet cafe
80292,Real estate agent
80293,Financial service
80294,Child care
80295,Self storage
80296,Tourist information center
80297,Sports activity location
80298,Animal shelter
80299,Professional service
80300,Internet cafe
80301,Self storage
80302,Automotive business
80303,Entertainment business
80304,Entertainment business
80305,Self storage
80306,Employment agency
80307,Lodging business
80308,Dry cleaning or laundry
80309,Child care
80310,Shopping center
80311,Government office
80312,Animal shelter
80313,Child care
80314,Real estate agent
80315,Internet cafe
80316,Lodging business
80317,Entertainment business
80318,Lodging business
80319,Emergency services
80320,Self storage
80321,Professional service
80322,Animal shelter
80323,Library
80324,Automotive business
80325,Sports activity location
80326,Real estate agent
80327,Government office
80328,Sports activity location
80329,Dry cleaning or laundry
80330,Sports activity location
80331,Lodging business
80332,Animal shelter
80333,Store
80334,Automotive business
80335,Food establishment
80336,Self storage
80337,Emergency services
80338,Professional service
80339,Government office
80340,Professional service
80341,Real estate agent
80342,Shopping center
80343,Travel agency
80344,Child care
80345,Travel agency
80346,Child care
80347,Child care
80348,Lodging business
80349,Food establishment
80350,Food establishment
80351,Medical organization
80352,Government office
80353,Library
80354,Shopping center
80355,Library
80356,Entertainment business
80357,Food establishment
80358,Financial service
80359,Lodging business
80360,Employment agency
80361,Food establishment
80362,Animal shelter
80363,Government office
80364,Library
80365,Medical organization
80366,Dry cleaning or laundry
80367,Government office
80368,Medical organization
80369,Health and construction business
80370,Real estate agent
80371,Sports activity location
80372,Television station
80373,Self storage
80374,Employment agency
80375,Health and construction business
80376,Government office
80377,Automotive business
80378,Automotive business
80379,Entertainment business
80380,Food establishment
80381,Medical organization
80382,Health and construction business
80383,Child care
80384,Travel agency
80385,Tourist information center
80386,Shopping center
80387,Library
80388,Dry cleaning or laundry
80389,Internet cafe
80390,Self storage
80391,Financial service
80392,Employment agency
80393,Child care
80394,Dry cleaning or laundry
80395,Internet cafe
80396,Employment agency
80397,Store
80398,Child care
80399,Library
80400,Sports activity location
80401,Television station
80402,Real estate agent
80403,Shopping center
80404,Financial service
80405,Food establishment
80406,Child care
80407,Sports activity location
80408,Medical organization
80409,Medical organization
80410,Emergency services
80411,Shopping center
80412,Lodging business
80413,Television station
80414,Emergency services
80415,Government office
80416,Self storage
80417,Entertainment business
80418,Employment agency
80419,Automotive business
80420,Shopping center
80421,Shopping center
80422,Automotive business
80423,Dry cleaning or laundry
80424,Medical organization
80425,Self storage
80426,Real estate agent
80427,Television station
80428,Employment agency
80429,Food establishment
80430,Employment agency
80431,Sports activity location
80432,Emergency services
80433,Shopping center
80434,Store
80435,Television station
80436,Travel agency
80437,Employment agency
80438,Employment agency
80439,Internet cafe
80440,Entertainment business
80441,Self storage
80442,Government office
80443,Employment agency
80444,Tourist information center
80445,Health and construction business
80446,Travel agency
80447,Animal shelter
80448,Employment agency
80449,Store
80450,Real estate agent
80451,Employment agency
80452,Library
80453,Library
80454,Library
80455,Animal shelter
80456,Health and construction business
80457,Tourist information center
80458,Automotive business
80459,Animal shelter
80460,Emergency services
80461,Real estate agent
80462,Travel agency
80463,Emergency services
80464,Employment agency
80465,Medical organization
80466,Dry cleaning or laundry
80467,Entertainment business
80468,Library
80469,Emergency services
80470,Dry cleaning or laundry
80471,Animal shelter
80472,Financial service
80473,Medical organization
80474,Child care
80475,Animal shelter
80476,Health and construction business
80477,Television station
80478,Lodging business
80479,Food establishment
80480,Television station
80481,Dry cleaning or laundry
80482,Self storage
80483,Emergency services
80484,Internet cafe
80485,Sports activity location
80486,Dry cleaning or laundry
80487,Medical organization
80488,Medical organization
80489,Store
80490,Real estate agent
80491,Sports activity location
80492,Emergency services
80493,Shopping center
80494,Self storage
80495,Lodging business
80496,Employment agency
80497,Library
80498,Tourist information center
80499,Medical organization
80500,Lodging business
80501,Government office
80502,Travel agency
80503,Animal shelter
80504,Emergency services
80505,Animal shelter
80506,Self storage
80507,Lodging business
80508,Television station
80509,Tourist information center
80510,Health and construction business
80511,Self storage
80512,Lodging business
80513,Tourist information center
80514,Television station
80515,Animal shelter
80516,Emergency services
80517,Tourist information center
80518,Television station
80519,Internet cafe
80520,Health and construction business
80521,Automotive business
80522,Food establishment
80523,Emergency services
80524,Emergency services
80525,Financial service
80526,Tourist information center
80527,Automotive business
80528,Store
80529,Self storage
80530,Real estate agent
80531,Self storage
80532,Employment agency
80533,Real estate agent
80534,Medical organization
80535,Sports activity location
80536,Entertainment business
80537,Entertainment business
80538,Child care
80539,Tourist information center
80540,Medical organization
80541,Dry cleaning or laundry
80542,Travel agency
80543,Entertainment business
80544,Food establishment
80545,Library
80546,Financial service
80547,Food establishment
80548,Shopping center
80549,Automotive business
80550,Animal shelter
80551,Travel agency
80552,Automotive business
80553,Entertainment business
80554,Health and construction business
80555,Internet cafe
80556,Internet cafe
80557,Real estate agent
80558,Child care
80559,Medical organization
80560,Lodging business
80561,Sports activity location
80562,Self storage
80563,Food establishment
80564,Government office
80565,Entertainment business
80566,Dry cleaning or laundry
80567,Food establishment
80568,Food establishment
80569,Dry cleaning or laundry
80570,Television station
80571,Dry cleaning or laundry
80572,Shopping center
80573,Store
80574,Travel agency
80575,Child care
80576,Emergency services
80577,Travel agency
80578,Entertainment business
80579,Lodging business
80580,Health and construction business
80581,Tourist information center
80582,Shopping center
80583,Sports activity location
80584,Library
80585,Health and construction business
80586,Medical organization
80587,Shopping center
80588,Emergency services
80589,Financial service
80590,Sports activity location
80591,Financial service
80592,Animal shelter
80593,Child care
80594,Library
80595,Television station
80596,Health and construction business
80597,Financial service
80598,Financial service
80599,Medical organization
80600,Dry cleaning or laundry
80601,Health and construction business
80602,Travel agency
80603,Employment agency
80604,Emergency services
80605,Self storage
80606,Store
80607,Lodging business
80608,Shopping center
80609,Medical organization
80610,Health and construction business
80611,Entertainment business
80612,Television station
80613,Financial service
80614,Television station
80615,Library
80616,Television station
80617,Medical organization
80618,Lodging business
80619,Emergency services
80620,Internet cafe
80621,Lodging business
80622,Tourist information center
80623,Real estate agent
80624,Sports activity location
80625,Health and construction business
80626,Real estate agent
80627,Health and construction business
80628,Dry cleaning or laundry
80629,Food establishment
80630,Sports activity location
80631,Financial service
80632,Dry cleaning or laundry
80633,Dry cleaning or laundry
80634,Real estate agent
80635,Tourist information center
80636,Library
80637,Travel agency
80638,Automotive business
80639,Food establishment
80640,Tourist information center
80641,Child care
80642,Sports activity location
80643,Professional service
80644,Financial service
80645,Sports activity location
80646,Shopping center
80647,Internet cafe
80648,Government office
80649,Travel agency
80650,Travel agency
80651,Lodging business
80652,Animal shelter
80653,Government office
80654,Self storage
80655,Child care
80656,Animal shelter
80657,Self storage
80658,Lodging business
80659,Television station
80660,Government office
80661,Library
80662,Television station
80663,Internet cafe
80664,Government office
80665,Self storage
80666,Travel agency
80667,Animal shelter
80668,Self storage
80669,Dry cleaning or laundry
80670,Tourist information center
80671,Emergency services
80672,Internet cafe
80673,Dry cleaning or laundry
80674,Sports activity location
80675,Shopping center
80676,Child care
80677,Employment agency
80678,Store
80679,Financial service
80680,Lodging business
80681,Medical organization
80682,Shopping center
80683,Food establishment
80684,Real estate agent
80685,Library
80686,Store
80687,Automotive business
80688,Food establishment
80689,Professional service
80690,Real estate agent
80691,Real estate agent
80692,Real estate agent
80693,Self storage
80694,Health and construction business
80695,Sports activity location
80696,Self storage
80697,Automotive business
80698,Food establishment
80699,Emergency services
80700,Food establishment
80701,Shopping center
80702,Internet cafe
80703,Travel agency
80704,Travel agency
80705,Professional service
80706,Real estate agent
80707,Animal shelter
80708,Government office
80709,Health and construction business
80710,Dry cleaning or laundry
80711,Self storage
80712,Internet cafe
80713,Store
80714,Store
80715,Food establishment
80716,Animal shelter
80717,Emergency services
80718,Child care
80719,Automotive business
80720,Travel agency
80721,Travel agency
80722,Government office
80723,Sports activity location
80724,Travel agency
80725,Sports activity location
80726,Medical organization
80727,Store
80728,Professional service
80729,Entertainment business
80730,Financial service
80731,Animal shelter
80732,Government office
80733,Animal shelter
80734,Food establishment
80735,Internet cafe
80736,Employment agency
80737,Automotive business
80738,Sports activity location
80739,Store
80740,Emergency services
80741,Entertainment business
80742,Store
80743,Professional service
80744,Sports activity location
80745,Self storage
80746,Employment agency
80747,Child care
80748,Television station
80749,Self storage
80750,Store
80751,Lodging business
80752,Tourist information center
80753,Automotive business
80754,Shopping center
80755,Entertainment business
80756,Sports activity location
80757,Child care
80758,Government office
80759,Travel agency
80760,Library
80761,Store
80762,Tourist information center
80763,Real estate agent
80764,Automotive business
80765,Sports activity location
80766,Entertainment business
80767,Medical organization
80768,Shopping center
80769,Employment agency
80770,Employment agency
80771,Lodging business
80772,Food establishment
80773,Lodging business
80774,Travel agency
80775,Professional service
80776,Child care
80777,Real estate agent
80778,Internet cafe
80779,Animal shelter
80780,Emergency services
80781,Financial service
80782,Store
80783,Self storage
80784,Emergency services
80785,Travel agency
80786,Dry cleaning or laundry
80787,Animal shelter
80788,Sports activity location
80789,Financial service
80790,Internet cafe
80791,Store
80792,Medical organization
80793,Emergency services
80794,Food establishment
80795,Dry cleaning or laundry
80796,Sports activity location
80797,Automotive business
80798,Television station
80799,Shopping center
80800,Animal shelter
80801,Television station
80802,Child care
80803,Government office
80804,Library
80805,Sports activity location
80806,Lodging business
80807,Medical organization
80808,Library
80809,Financial service
80810,Library
80811,Shopping center
80812,Tourist information center
80813,Professional service
80814,Automotive business
80815,Tourist information center
80816,Government office
80817,Medical organization
80818,Lodging business
80819,Medical organization
80820,Travel agency
80821,Dry cleaning or laundry
80822,Food establishment
80823,Automotive business
80824,Shopping center
80825,Health and construction business
80826,Shopping center
80827,Lodging business
80828,Real estate agent
80829,Food establishment
80830,Real estate agent
80831,Child care
80832,Food establishment
80833,Tourist information center
80834,Tourist information center
80835,Animal shelter
80836,Food establishment
80837,Library
80838,Animal shelter
80839,Animal shelter
80840,Professional service
80841,Health and construction business
80842,Emergency services
80843,Dry cleaning or laundry
80844,Entertainment business
80845,Medical organization
80846,Real estate agent
80847,Food establishment
80848,Store
80849,Shopping center
80850,Medical organization
80851,Self storage
80852,Medical organization
80853,Internet cafe
80854,Medical organization
80855,Medical organization
80856,Dry cleaning or laundry
80857,Store
80858,Real estate agent
80859,Internet cafe
80860,Employment agency
80861,Animal shelter
80862,Dry cleaning or laundry
80863,Tourist information center
80864,Automotive business
80865,Automotive business
80866,Financial service
80867,Food establishment
80868,Animal shelter
80869,Medical organization
80870,Television station
80871,Sports activity location
80872,Sports activity location
80873,Dry cleaning or laundry
80874,Employment agency
80875,Tourist information center
80876,Lodging business
80877,Medical organization
80878,Lodging business
80879,Library
80880,Library
80881,Lodging business
80882,Health and construction business
80883,Child care
80884,Self storage
80885,Child care
80886,Internet cafe
80887,Professional service
80888,Internet cafe
80889,Tourist information center
80890,Travel agency
80891,Shopping center
80892,Television station
80893,Professional service
80894,Child care
80895,Automotive business
80896,Dry cleaning or laundry
80897,Internet cafe
80898,Food establishment
80899,Government office
80900,Emergency services
80901,Store
80902,Store
80903,Sports activity location
80904,Dry cleaning or laundry
80905,Self storage
80906,Television station
80907,Sports activity location
80908,Real estate agent
80909,Store
80910,Health and construction business
80911,Store
80912,Medical organization
80913,Food establishment
80914,Animal shelter
80915,Government office
80916,Professional service
80917,Financial service
80918,Dry cleaning or laundry
80919,Food establishment
80920,Lodging business
80921,Lodging business
80922,Entertainment business
80923,Professional service
80924,Automotive business
80925,Medical organization
80926,Sports activity location
80927,Professional service
80928,Real estate agent
80929,Government office
80930,Tourist information center
80931,Lodging business
80932,Government office
80933,Internet cafe
80934,Lodging business
80935,Employment agency
80936,Medical organization
80937,Health and construction business
80938,Health and construction business
80939,Store
80940,Store
80941,Food establishment
80942,Entertainment business
80943,Shopping center
80944,Financial service
80945,Travel agency
80946,Internet cafe
80947,Store
80948,Television station
80949,Automotive business
80950,Travel agency
80951,Travel agency
80952,Professional service
80953,Television station
80954,Health and construction business
80955,Entertainment business
80956,Employment agency
80957,Animal shelter
80958,Food establishment
80959,Dry cleaning or laundry
80960,Employment agency
80961,Lodging business
80962,Library
80963,Animal shelter
80964,Emergency services
80965,Emergency services
80966,Financial service
80967,Travel agency
80968,Employment agency
80969,Sports activity location
80970,Food establishment
80971,Library
80972,Automotive business
80973,Dry cleaning or laundry
80974,Child care
80975,Television station
80976,Professional service
80977,Health and construction business
80978,Government office
80979,Emergency services
80980,Entertainment business
80981,Real estate agent
80982,Automotive business
80983,Employment agency
80984,Food establishment
80985,Entertainment business
80986,Internet cafe
80987,Travel agency
80988,Automotive business
80989,Tourist information center
80990,Travel agency
80991,Animal shelter
80992,Food establishment
80993,Medical organization
80994,Child care
80995,Television station
80996,Lodging business
80997,Self storage
80998,Automotive business
80999,Employment agency
81000,Employment agency
81001,Government office
81002,Health and construction business
81003,Government office
81004,Library
81005,Store
81006,Library
81007,Animal shelter
81008,Health and construction business
81009,Automotive business
81010,Dry cleaning or laundry
81011,Government office
81012,Television station
81013,Travel agency
81014,Financial service
81015,Entertainment business
81016,Lodging business
81017,Library
81018,Library
81019,Medical organization
81020,Emergency services
81021,Tourist information center
81022,Medical organization
81023,Government office
81024,Employment agency
81025,Lodging business
81026,Automotive business
81027,Medical organization
81028,Lodging business
81029,Dry cleaning or laundry
81030,Travel agency
81031,Library
81032,Emergency services
81033,Self storage
81034,Self storage
81035,Medical organization
81036,Sports activity location
81037,Food establishment
81038,Television station
81039,Real estate agent
81040,Store
81041,Real estate agent
81042,Real estate agent
81043,Emergency services
81044,Automotive business
81045,Health and construction business
81046,Professional service
81047,Shopping center
81048,Dry cleaning or laundry
81049,Professional service
81050,Financial service
81051,Internet cafe
81052,Child care
81053,Food establishment
81054,Animal shelter
81055,Professional service
81056,Tourist information center
81057,Child care
81058,Dry cleaning or laundry
81059,Food establishment
81060,Health and construction business
81061,Lodging business
81062,Food establishment
81063,Travel agency
81064,Library
81065,Professional service
81066,Professional service
81067,Television station
81068,Lodging business
81069,Government office
81070,Medical organization
81071,Medical organization
81072,Store
81073,Professional service
81074,Automotive business
81075,Library
81076,Emergency services
81077,Television station
81078,Government office
81079,Shopping center
81080,Dry cleaning or laundry
81081,Tourist information center
81082,Child care
81083,Financial service
81084,Animal shelter
81085,Automotive business
81086,Self storage
81087,Automotive business
81088,Animal shelter
81089,Emergency services
81090,Self storage
81091,Internet cafe
81092,Medical organization
81093,Employment agency
81094,Animal shelter
81095,Animal shelter
81096,Automotive business
81097,Shopping center
81098,Tourist information center
81099,Library
81100,Store
81101,Emergency services
81102,Automotive business
81103,Child care
81104,Entertainment business
81105,Travel agency
81106,Government office
81107,Real estate agent
81108,Internet cafe
81109,Employment agency
81110,Tourist information center
81111,Internet cafe
81112,Self storage
81113,Medical organization
81114,Sports activity location
81115,Government office
81116,Store
81117,Real estate agent
81118,Food establishment
81119,Library
81120,Professional service
81121,Sports activity location
81122,Animal shelter
81123,Medical organization
81124,Food establishment
81125,Automotive business
81126,Medical organization
81127,Child care
81128,Government office
81129,Internet cafe
81130,Medical organization
81131,Medical organization
81132,Automotive business
81133,Self storage
81134,Real estate agent
81135,Dry cleaning or laundry
81136,Health and construction business
81137,Library
81138,Store
81139,Library
81140,Animal shelter
81141,Internet cafe
81142,Store
81143,Self storage
81144,Financial service
81145,Medical organization
81146,Medical organization
81147,Employment agency
81148,Television station
81149,Professional service
81150,Government office
81151,Self storage
81152,Library
81153,Automotive business
81154,Food establishment
81155,Sports activity location
81156,Self storage
81157,Lodging business
81158,Child care
81159,Animal shelter
81160,Real estate agent
81161,Medical organization
81162,Food establishment
81163,Financial service
81164,Television station
81165,Library
81166,Government office
81167,Store
81168,Entertainment business
81169,Health and construction business
81170,Animal shelter
81171,Child care
81172,Health and construction business
81173,Shopping center
81174,Health and construction business
81175,Lodging business
81176,Financial service
81177,Store
81178,Real estate agent
81179,Emergency services
81180,Travel agency
81181,Shopping center
81182,Tourist information center
81183,Emergency services
81184,Child care
81185,Animal shelter
81186,Library
81187,Real estate agent
81188,Dry cleaning or laundry
81189,Child care
81190,Government office
81191,Automotive business
81192,Financial service
81193,Medical organization
81194,Professional service
81195,Dry cleaning or laundry
81196,Automotive business
81197,Travel agency
81198,Store
81199,Emergency services
81200,Financial service
81201,Animal shelter
81202,Entertainment business
81203,Dry cleaning or laundry
81204,Store
81205,Emergency services
81206,Sports activity location
81207,Real estate agent
81208,Health and construction business
81209,Employment agency
81210,Employment agency
81211,Internet cafe
81212,Health and construction business
81213,Lodging business
81214,Financial service
81215,Government office
81216,Food establishment
81217,Animal shelter
81218,Medical organization
81219,Financial service
81220,Professional service
81221,Real estate agent
81222,Library
81223,Animal shelter
81224,Animal shelter
81225,Professional service
81226,Library
81227,Professional service
81228,Professional service
81229,Government office
81230,Financial service
81231,Internet cafe
81232,Travel agency
81233,Television station
81234,Store
81235,Professional service
81236,Entertainment business
81237,Lodging business
81238,Shopping center
81239,Sports activity location
81240,Financial service
81241,Internet cafe
81242,Dry cleaning or laundry
81243,Sports activity location
81244,Dry cleaning or laundry
81245,Child care
81246,Internet cafe
81247,Dry cleaning or laundry
81248,Sports activity location
81249,Store
81250,Food establishment
81251,Professional service
81252,Financial service
81253,Self storage
81254,Animal shelter
81255,Government office
81256,Sports activity location
81257,Shopping center
81258,Lodging business
81259,Professional service
81260,Health and construction business
81261,Food establishment
81262,Internet cafe
81263,Employment agency
81264,Emergency services
81265,Health and construction business
81266,Travel agency
81267,Entertainment business
81268,Self storage
81269,Lodging business
81270,Child care
81271,Employment agency
81272,Government office
81273,Government office
81274,Financial service
81275,Employment agency
81276,Employment agency
81277,Food establishment
81278,Tourist information center
81279,Television station
81280,Tourist information center
81281,Employment agency
81282,Store
81283,Food establishment
81284,Store
81285,Medical organization
81286,Financial service
81287,Animal shelter
81288,Television station
81289,Medical organization
81290,Travel agency
81291,Automotive business
81292,Emergency services
81293,Self storage
81294,Food establishment
81295,Food establishment
81296,Store
81297,Dry cleaning or laundry
81298,Child care
81299,Tourist information center
81300,Employment agency
81301,Store
81302,Financial service
81303,Emergency services
81304,Travel agency
81305,Real estate agent
81306,Financial service
81307,Emergency services
81308,Child care
81309,Sports activity location
81310,Lodging business
81311,Financial service
81312,Self storage
81313,Internet cafe
81314,Real estate agent
81315,Financial service
81316,Emergency services
81317,Entertainment business
81318,Shopping center
81319,Library
81320,Shopping center
81321,Tourist information center
81322,Shopping center
81323,Television station
81324,Emergency services
81325,Entertainment business
81326,Sports activity location
81327,Library
81328,Travel agency
81329,Emergency services
81330,Tourist information center
81331,Professional service
81332,Shopping center
81333,Self storage
81334,Animal shelter
81335,Financial service
81336,Dry cleaning or laundry
81337,Employment agency
81338,Animal shelter
81339,Shopping center
81340,Professional service
81341,Self storage
81342,Dry cleaning or laundry
81343,Animal shelter
81344,Entertainment business
81345,Employment agency
81346,Automotive business
81347,Dry cleaning or laundry
81348,Library
81349,Real estate agent
81350,Television station
81351,Store
81352,Medical organization
81353,Medical organization
81354,Food establishment
81355,Travel agency
81356,Lodging business
81357,Professional service
81358,Financial service
81359,Library
81360,Tourist information center
81361,Store
81362,Lodging business
81363,Library
81364,Employment agency
81365,Food establishment
81366,Child care
81367,Child care
81368,Self storage
81369,Financial service
81370,Store
81371,Lodging business
81372,Shopping center
81373,Tourist information center
81374,Self storage
81375,Professional service
81376,Internet cafe
81377,Financial service
81378,Emergency services
81379,Real estate agent
81380,Shopping center
81381,Library
81382,Real estate agent
81383,Employment agency
81384,Store
81385,Food establishment
81386,Emergency services
81387,Animal shelter
81388,Sports activity location
81389,Emergency services
81390,Lodging business
81391,Tourist information center
81392,Real estate agent
81393,Employment agency
81394,Emergency services
81395,Sports activity location
81396,Television station
81397,Professional service
81398,Entertainment business
81399,Animal shelter
81400,Medical organization
81401,Child care
81402,Emergency services
81403,Store
81404,Food establishment
81405,Professional service
81406,Library
81407,Real estate agent
81408,Food establishment
81409,Emergency services
81410,Internet cafe
81411,Animal shelter
81412,Entertainment business
81413,Animal shelter
81414,Government office
81415,Library
81416,Dry cleaning or laundry
81417,Library
81418,Employment agency
81419,Food establishment
81420,Professional service
81421,Medical organization
81422,Food establishment
81423,Dry cleaning or laundry
81424,Store
81425,Emergency services
81426,Medical organization
81427,Sports activity location
81428,Dry cleaning or laundry
81429,Employment agency
81430,Medical organization
81431,Emergency services
81432,Entertainment business
81433,Television station
81434,Health and construction business
81435,Real estate agent
81436,Government office
81437,Health and construction business
81438,Animal shelter
81439,Internet cafe
81440,Dry cleaning or laundry
81441,Automotive business
81442,Sports activity location
81443,Medical organization
81444,Lodging business
81445,Financial service
81446,Entertainment business
81447,Travel agency
81448,Television station
81449,Tourist information center
81450,Animal shelter
81451,Lodging business
81452,Dry cleaning or laundry
81453,Library
81454,Travel agency
81455,Dry cleaning or laundry
81456,Medical organization
81457,Child care
81458,Tourist information center
81459,Lodging business
81460,Food establishment
81461,Child care
81462,Child care
81463,Internet cafe
81464,Medical organization
81465,Dry cleaning or laundry
81466,Tourist information center
81467,Animal shelter
81468,Automotive business
81469,Television station
81470,Library
81471,Emergency services
81472,Entertainment business
81473,Employment agency
81474,Real estate agent
81475,Shopping center
81476,Medical organization
81477,Television station
81478,Health and construction business
81479,Entertainment business
81480,Child care
81481,Government office
81482,Dry cleaning or laundry
81483,Employment agency
81484,Child care
81485,Shopping center
81486,Dry cleaning or laundry
81487,Television station
81488,Library
81489,Library
81490,Dry cleaning or laundry
81491,Lodging business
81492,Automotive business
81493,Television station
81494,Internet cafe
81495,Employment agency
81496,Lodging business
81497,Lodging business
81498,Dry cleaning or laundry
81499,Television station
81500,Food establishment
81501,Store
81502,Child care
81503,Government office
81504,Child care
81505,Self storage
81506,Shopping center
81507,Automotive business
81508,Government office
81509,Library
81510,Television station
81511,Child care
81512,Self storage
81513,Travel agency
81514,Professional service
81515,Health and construction business
81516,Shopping center
81517,Child care
81518,Dry cleaning or laundry
81519,Emergency services
81520,Health and construction business
81521,Self storage
81522,Food establishment
81523,Self storage
81524,Professional service
81525,Shopping center
81526,Animal shelter
81527,Food establishment
81528,Lodging business
81529,Animal shelter
81530,Health and construction business
81531,Television station
81532,Real estate agent
81533,Real estate agent
81534,Library
81535,Government office
81536,Store
81537,Tourist information center
81538,Automotive business
81539,Food establishment
81540,Financial service
81541,Emergency services
81542,Automotive business
81543,Self storage
81544,Television station
81545,Self storage
81546,Lodging business
81547,Library
81548,Dry cleaning or laundry
81549,Internet cafe
81550,Employment agency
81551,Self storage
81552,Professional service
81553,Store
81554,Medical organization
81555,Lodging business
81556,Automotive business
81557,Store
81558,Television station
81559,Self storage
81560,Professional service
81561,Animal shelter
81562,Dry cleaning or laundry
81563,Employment agency
81564,Child care
